!SIL 1.0	SIL
A 1.0	A
BOgolika 1.0	B O g o l i k a
BOwika 1.0	B O w i k a
BUgola 1.0	B U g o l a
BUla 1.0	B U l a
BUmI 1.0	B U m I
BUmIkA 1.0	B U m I k A
BUmi 1.0	B U m i
BUmikA 1.0	B U m i k A
BUpa 1.0	B U p a
BUpawi 1.0	B U p a w i
BUpwi 1.0	B U p w i
BUtAna 1.0	B U t A n a
BUwapUrva 1.0	B U w a p U r v a
BaI 1.0	B a I
BaMdAra 1.0	B a M d A r a
BaMvara 1.0	B a M v a r a
BaNdA 1.0	B a N d A
BadZaka 1.0	B a d Z a k a
BagAne 1.0	B a g A n e
BagAye 1.0	B a g A y e
BagavAna 1.0	B a g a v A n a
Bagawa 1.0	B a g a w a
Bagawi 1.0	B a g a w i
Bahawwara 1.0	B a h a w w a r a
Bakwa 1.0	B a k w a
Bale 1.0	B a l e
BarA 1.0	B a r A
BarI 1.0	B a r I
Bara 1.0	B a r a
BarawIya 1.0	B a r a w I y a
Barawa 1.0	B a r a w a
Barawahi 1.0	B a r a w a h i
BaraxvAja 1.0	B a r a x v A j a
Bare 1.0	B a r e
Barne 1.0	B a r n e
BarosA 1.0	B a r o s A
Barosa 1.0	B a r o s a
BarwI 1.0	B a r w I
BarwIya 1.0	B a r w I y a
BatanAgara 1.0	B a t a n A g a r a
BatnAgara 1.0	B a t n A g a r a
BavAnI 1.0	B a v A n I
BavAni 1.0	B a v A n i
Bavana 1.0	B a v a n a
BavarlAla 1.0	B a v a r l A l a
BaviRya 1.0	B a v i R y a
Bavya 1.0	B a v y a
BayAnaka 1.0	B a y A n a k a
Baya 1.0	B a y a
BayaU 1.0	B a y a U
Bayau 1.0	B a y a u
BeMta 1.0	B e M t a
BejA 1.0	B e j A
Beja 1.0	B e j a
BejegA 1.0	B e j e g A
Bejne 1.0	B e j n e
Beta 1.0	B e t a
BexI 1.0	B e x I
Bexa 1.0	B e x a
Bexo 1.0	B e x o
BhI 1.0	B h I
Bi 1.0	B i
BikArAma 1.0	B i k A r A m a
BimBara 1.0	B i m B a r a
Binna 1.0	B i n n a
BinnawA 1.0	B i n n a w A
BogI 1.0	B o g I
Bojana 1.0	B o j a n a
BopAla 1.0	B o p A l a
Bqgu 1.0	B q g u
Brama 1.0	B r a m a
BukaMpa 1.0	B u k a M p a
BupawI 1.0	B u p a w I
Buvana 1.0	B u v a n a
CAnbIna 1.0	C A n b I n a
CApA 1.0	C A p A
CApAmAro 1.0	C A p A m A r o
CApe 1.0	C A p e
CAwI 1.0	C A w I
CAyAvAxI 1.0	C A y A v A x I
CAyAvAxa 1.0	C A y A v A x a
CAya 1.0	C A y a
CE 1.0	C E
CI 1.0	C I
CIte 1.0	C I t e
CIteM 1.0	C I t e M
CUgayA 1.0	C U g a y A
CUta 1.0	C U t a
Ca 1.0	C a
CabIsa 1.0	C a b I s a
CabbIsa 1.0	C a b b I s a
Cabisa 1.0	C a b i s a
Caha 1.0	C a h a
Cana 1.0	C a n a
Canxa 1.0	C a n x a
CapI 1.0	C a p I
CawwIsa 1.0	C a w w I s a
CawwIsagaDZa 1.0	C a w w I s a g a D Z a
CawwIsagaDa 1.0	C a w w I s a g a D a
Caye 1.0	C a y e
Ce 1.0	C e
CedZe 1.0	C e d Z e
Cewra 1.0	C e w r a
Cewro 1.0	C e w r o
Che 1.0	C h e
CidZne 1.0	C i d Z n e
Cipa 1.0	C i p a
CipkaliyoM 1.0	C i p k a l i y o M
Cipne 1.0	C i p n e
CiyAsaTa 1.0	C i y A s a T a
CodZa 1.0	C o d Z a
CodZakara 1.0	C o d Z a k a r a
CodZkara 1.0	C o d Z k a r a
Coda 1.0	C o d a
Codakara 1.0	C o d a k a r a
Code 1.0	C o d e
CodnA 1.0	C o d n A
Cora 1.0	C o r a
CotA 1.0	C o t A
CotI 1.0	C o t I
Cote 1.0	C o t e
CupAyA 1.0	C u p A y A
Cupne 1.0	C u p n e
DAIsO 1.0	D A I s O
DAkA 1.0	D A k A
DAlo 1.0	D A l o
DIla 1.0	D I l a
DUdZnA 1.0	D U d Z n A
DZAkA 1.0	D Z A k A
DZUzDZne 1.0	D Z U z D Z n e
DalAna 1.0	D a l A n a
E 1.0	E
ESiyA 1.0	E S i y A
EWihAsika 1.0	E W i h A s i k a
EjEnta 1.0	E j E n t a
EjaMsiyAz 1.0	E j a M s i y A z
EjaMta 1.0	E j a M t a
EjeMsI 1.0	E j e M s I
EjeMsIoM 1.0	E j e M s I o M
EkedmI 1.0	E k e d m I
EksceMja 1.0	E k s c e M j a
ErIyA 1.0	E r I y A
EsA 1.0	E s A
EsI 1.0	E s I
EsbeswIna 1.0	E s b e s w I n a
Ese 1.0	E s e
EseM 1.0	E s e M
Esosiesana 1.0	E s o s i e s a n a
EsosiyeSana 1.0	E s o s i y e S a n a
Eta 1.0	E t a
EwihAsika 1.0	E w i h A s i k a
GAtA 1.0	G A t A
GAtI 1.0	G A t I
GAta 1.0	G A t a
GAte 1.0	G A t e
GAtevAlI 1.0	G A t e v A l I
GAwa 1.0	G A w a
GAyala 1.0	G A y a l a
GAyaloM 1.0	G A y a l o M
GaDZI 1.0	G a D Z I
GaMtaka 1.0	G a M t a k a
GaMte 1.0	G a M t e
GaMto 1.0	G a M t o
GaMtoM 1.0	G a M t o M
GadI 1.0	G a d I
GadZI 1.0	G a d Z I
GamAsAna 1.0	G a m A s A n a
GamasAna 1.0	G a m a s A n a
Gana 1.0	G a n a
Gane 1.0	G a n e
Gante 1.0	G a n t e
GantoM 1.0	G a n t o M
Gara 1.0	G a r a
GarbAra 1.0	G a r b A r a
GarelU 1.0	G a r e l U
Garelu 1.0	G a r e l u
Garo 1.0	G a r o
GaroM 1.0	G a r o M
GatI 1.0	G a t I
Gatakara 1.0	G a t a k a r a
GatanAoM 1.0	G a t a n A o M
GatnA 1.0	G a t n A
GatnAo 1.0	G a t n A o
GatnAoM 1.0	G a t n A o M
GerA 1.0	G e r A
Geyara 1.0	G e y a r a
GirA 1.0	G i r A
Gire 1.0	G i r e
GoRNA 1.0	G o R N A
GoRa 1.0	G o R a
GoRaNA 1.0	G o R a N A
GoRiwa 1.0	G o R i w a
GoSNA 1.0	G o S N A
Gora 1.0	G o r a
GotAle 1.0	G o t A l e
GusapETiyoM 1.0	G u s a p E T i y o M
Guse 1.0	G u s e
GuspETa 1.0	G u s p E T a
GuspETioM 1.0	G u s p E T i o M
GuspETioyaM 1.0	G u s p E T i o y a M
GuspETiyA 1.0	G u s p E T i y A
GuspETiye 1.0	G u s p E T i y e
GuspETiyeM 1.0	G u s p E T i y e M
GuspETiyoM 1.0	G u s p E T i y o M
GuspETyoM 1.0	G u s p E T y o M
GuspEtiyoM 1.0	G u s p E t i y o M
GuspeTiyoM 1.0	G u s p e T i y o M
GyAna 1.0	G y A n a
ISvara 1.0	I S v a r a
IjAjawa 1.0	I j A j a w a
IlAkoM 1.0	I l A k o M
ImAma 1.0	I m A m a
IrAna 1.0	I r A n a
IsA 1.0	I s A
IslAma 1.0	I s l A m a
Ixa 1.0	I x a
JAka 1.0	J A k a
JAraKaMda 1.0	J A r a K a M d a
JIla 1.0	J I l a
JOYsI 1.0	J O Y s I
JUTa 1.0	J U T a
JadZapa 1.0	J a d Z a p a
JaranA 1.0	J a r a n A
Jatke 1.0	J a t k e
Jile 1.0	J i l e
Jilo 1.0	J i l o
JukeMge 1.0	J u k e M g e
KAdI 1.0	K A d I
KAdZI 1.0	K A d Z I
KAlI 1.0	K A l I
KAlUbAra 1.0	K A l U b A r a
KAle 1.0	K A l e
KAlubAra 1.0	K A l u b A r a
KAna 1.0	K A n a
KAne 1.0	K A n e
KArija 1.0	K A r i j a
KAsa 1.0	K A s a
KAswora 1.0	K A s w o r a
KUna 1.0	K U n a
KZAna 1.0	K Z A n a
KZAsa 1.0	K Z A s a
KaMdana 1.0	K a M d a n a
Kabara 1.0	K a b a r a
Kabaro 1.0	K a b a r o
KabaroM 1.0	K a b a r o M
Kabre 1.0	K a b r e
KabreM 1.0	K a b r e M
Kabro 1.0	K a b r o
KabroM 1.0	K a b r o M
KadA 1.0	K a d A
KadZI 1.0	K a d Z I
Kaga 1.0	K a g a
Kagesa 1.0	K a g e s a
Kagola 1.0	K a g o l a
Kala 1.0	K a l a
KannA 1.0	K a n n A
Kapawa 1.0	K a p a w a
KarAba 1.0	K a r A b a
KarIxA 1.0	K a r I x A
KarIxArI 1.0	K a r I x A r I
KarIxa 1.0	K a r I x a
KarIxe 1.0	K a r I x e
KarIxne 1.0	K a r I x n e
Karte 1.0	K a r t e
Kawama 1.0	K a w a m a
KawarA 1.0	K a w a r A
Kaware 1.0	K a w a r e
KawarnAka 1.0	K a w a r n A k a
Kawma 1.0	K a w m a
KawrI 1.0	K a w r I
Kawre 1.0	K a w r e
KaxeDZa 1.0	K a x e D Z a
KaxedA 1.0	K a x e d A
KaxedZa 1.0	K a x e d Z a
KaxedZakara 1.0	K a x e d Z a k a r a
KaxedZnA 1.0	K a x e d Z n A
KaxedZne 1.0	K a x e d Z n e
Kaxeda 1.0	K a x e d a
Kaxedne 1.0	K a x e d n e
KayAla 1.0	K a y A l a
KelA 1.0	K e l A
Kela 1.0	K e l a
Kelane 1.0	K e l a n e
Kele 1.0	K e l e
KelnA 1.0	K e l n A
Kelwe 1.0	K e l w e
Kewa 1.0	K e w a
KewoM 1.0	K e w o M
KilAPZa 1.0	K i l A P Z a
KilAPa 1.0	K i l A P a
KilAdI 1.0	K i l A d I
KilAdIyoM 1.0	K i l A d I y o M
KilAdZI 1.0	K i l A d Z I
KiwAba 1.0	K i w A b a
Ko 1.0	K o
KodZwe 1.0	K o d Z w e
Koda 1.0	K o d a
KojeM 1.0	K o j e M
Kokara 1.0	K o k a r a
Kola 1.0	K o l a
Kole 1.0	K o l e
Kolne 1.0	K o l n e
KoreSI 1.0	K o r e S I
Koxa 1.0	K o x a
Koxne 1.0	K o x n e
KuPIyA 1.0	K u P I y A
KuPiyA 1.0	K u P i y A
KuSI 1.0	K u S I
KuSaBAU 1.0	K u S a B A U
KulAsA 1.0	K u l A s A
KulI 1.0	K u l I
Kule 1.0	K u l e
Kuna 1.0	K u n a
KurAPZAwoM 1.0	K u r A P Z A w o M
KureSI 1.0	K u r e S I
KureSIne 1.0	K u r e S I n e
KuresI 1.0	K u r e s I
Kuxa 1.0	K u x a
KvajA 1.0	K v a j A
KyAwi 1.0	K y A w i
ORaXI 1.0	O R a X I
ORaXi 1.0	O R a X i
OYPZa 1.0	O Y P Z a
OYPa 1.0	O Y P a
OYktobara 1.0	O Y k t o b a r a
OYpareSana 1.0	O Y p a r e S a n a
OYpreSana 1.0	O Y p r e S a n a
OYra 1.0	O Y r a
OYstraliyAi 1.0	O Y s t r a l i y A i
OYstreliyA 1.0	O Y s t r e l i y A
OYstreliyAi 1.0	O Y s t r e l i y A i
Ociwya 1.0	O c i w y a
OpacArika 1.0	O p a c A r i k a
Ora 1.0	O r a
Osawama 1.0	O s a w a m a
Osaxa 1.0	O s a x a
OstreliyA 1.0	O s t r e l i y A
Ostreliya 1.0	O s t r e l i y a
Oxogika 1.0	O x o g i k a
Oxyogika 1.0	O x y o g i k a
PAInala 1.0	P A I n a l a
PAIva 1.0	P A I v a
PAnado 1.0	P A n a d o
PArUKa 1.0	P A r U K a
PArasI 1.0	P A r a s I
PAtakvAle 1.0	P A t a k v A l e
PAuMdeSana 1.0	P A u M d e S a n a
PAyariMga 1.0	P A y a r i M g a
PAyaxA 1.0	P A y a x A
PElA 1.0	P E l A
PElAne 1.0	P E l A n e
PElne 1.0	P E l n e
PEnala 1.0	P E n a l a
PEsalA 1.0	P E s a l A
PEsale 1.0	P E s a l e
PEslA 1.0	P E s l A
PEslAM 1.0	P E s l A M
POjI 1.0	P O j I
POjIyoM 1.0	P O j I y o M
POjeM 1.0	P O j e M
POjoM 1.0	P O j o M
PUla 1.0	P U l a
PZArasI 1.0	P Z A r a s I
PZEnala 1.0	P Z E n a l a
PZOje 1.0	P Z O j e
PZilma 1.0	P Z i l m a
PZilmeM 1.0	P Z i l m e M
PZilmoM 1.0	P Z i l m o M
PZira 1.0	P Z i r a
PZodZa 1.0	P Z o d Z a
PZrAMsisI 1.0	P Z r A M s i s I
PZrAzsa 1.0	P Z r A z s a
PaMdo 1.0	P a M d o
PaloM 1.0	P a l o M
Parma 1.0	P a r m a
ParnAMdIsa 1.0	P a r n A M d I s a
ParnAMdijZa 1.0	P a r n A M d i j Z a
ParnAMdisa 1.0	P a r n A M d i s a
ParnAdijZa 1.0	P a r n A d i j Z a
ParnaMdisa 1.0	P a r n a M d i s a
PasAnekI 1.0	P a s A n e k I
Pasala 1.0	P a s a l a
PawehpurI 1.0	P a w e h p u r I
Paxe 1.0	P a x e
Payeva 1.0	P a y e v a
Payva 1.0	P a y v a
Pazsa 1.0	P a z s a
Pera 1.0	P e r a
Pidela 1.0	P i d e l a
PijI 1.0	P i j I
PilhAla 1.0	P i l h A l a
PilipInsa 1.0	P i l i p I n s a
Pilma 1.0	P i l m a
PilmoM 1.0	P i l m o M
Pira 1.0	P i r a
PirahiM 1.0	P i r a h i M
PlEta 1.0	P l E t a
Pleta 1.0	P l e t a
Pona 1.0	P o n a
Pora 1.0	P o r a
Porma 1.0	P o r m a
Poto 1.0	P o t o
PrAMsa 1.0	P r A M s a
PreMka 1.0	P r e M k a
Puta 1.0	P u t a
PutabOYla 1.0	P u t a b O Y l a
PutbAla 1.0	P u t b A l a
Putbola 1.0	P u t b o l a
SAKA 1.0	S A K A
SAKAoM 1.0	S A K A o M
SAMnwI 1.0	S A M n w I
SAMwI 1.0	S A M w I
SAMwa 1.0	S A M w a
SAMwi 1.0	S A M w i
SAMwipUrNa 1.0	S A M w i p U r N a
SAbxika 1.0	S A b x i k a
SAhA 1.0	S A h A
SAhI 1.0	S A h I
SAha 1.0	S A h a
SAlimAra 1.0	S A l i m A r a
SAmA 1.0	S A m A
SAma 1.0	S A m a
SAmila 1.0	S A m i l a
SAnwi 1.0	S A n w i
SAnxAra 1.0	S A n x A r a
SAsaka 1.0	S A s a k a
SAsana 1.0	S A s a n a
SAsanakAla 1.0	S A s a n a k A l a
SAswra 1.0	S A s w r a
SAyara 1.0	S A y a r a
SAyaxa 1.0	S A y a x a
SElI 1.0	S E l I
SEva 1.0	S E v a
SIGra 1.0	S I G r a
SIL 1.0	SIL
SIlA 1.0	S I l A
SIla 1.0	S I l a
SIrRaka 1.0	S I r R a k a
SIwa 1.0	S I w a
SOrya 1.0	S O r y a
SUnya 1.0	S U n y a
SUra 1.0	S U r a
SaIxa 1.0	S a I x a
SaMkara 1.0	S a M k a r a
SaMkarxipa 1.0	S a M k a r x i p a
SabAnA 1.0	S a b A n A
Sabxa 1.0	S a b x a
SabxakoSa 1.0	S a b x a k o S a
Sabxo 1.0	S a b x o
SabxoM 1.0	S a b x o M
SahAxawa 1.0	S a h A x a w a
SahIxa 1.0	S a h I x a
SahIxo 1.0	S a h I x o
SahIxoM 1.0	S a h I x o M
Saha 1.0	S a h a
SaharI 1.0	S a h a r I
Sahara 1.0	S a h a r a
SahrI 1.0	S a h r I
Saka 1.0	S a k a
SakwI 1.0	S a k w I
Sakwi 1.0	S a k w i
SakwiSAlI 1.0	S a k w i S A l I
SakwivAle 1.0	S a k w i v A l e
SamawA 1.0	S a m a w A
SanivAra 1.0	S a n i v A r a
SapaWa 1.0	S a p a W a
SarIPZa 1.0	S a r I P Z a
SarIPa 1.0	S a r I P a
SarIra 1.0	S a r I r a
SarNArWiyoM 1.0	S a r N A r W i y o M
SaraNa 1.0	S a r a N a
Saraxa 1.0	S a r a x a
SariPa 1.0	S a r i P a
SarmA 1.0	S a r m A
Sarwa 1.0	S a r w a
Sarwo 1.0	S a r w o
Sava 1.0	S a v a
Savo 1.0	S a v o
SavoM 1.0	S a v o M
SawAbxI 1.0	S a w A b x I
Sawa 1.0	S a w a
Sawaka 1.0	S a w a k a
SawrUwApUrNa 1.0	S a w r U w A p U r N a
Sawru 1.0	S a w r u
SeKa 1.0	S e K a
SeRa 1.0	S e R a
Sena 1.0	S e n a
Sewra 1.0	S e w r a
Seyara 1.0	S e y a r a
SiKara 1.0	S i K a r a
SiMGala 1.0	S i M G a l a
SiRTa 1.0	S i R T a
Sibira 1.0	S i b i r a
SibiroM 1.0	S i b i r o M
SikArI 1.0	S i k A r I
SikArIyo 1.0	S i k A r I y o
SikAyawa 1.0	S i k A y a w a
SikRA 1.0	S i k R A
SikRaNa 1.0	S i k R a N a
SimlA 1.0	S i m l A
SiromaNI 1.0	S i r o m a N I
SivAjI 1.0	S i v A j I
SivIra 1.0	S i v I r a
Sivira 1.0	S i v i r a
SoBA 1.0	S o B A
SoXaka 1.0	S o X a k a
SoXana 1.0	S o X a n a
Sodara 1.0	S o d a r a
Soheba 1.0	S o h e b a
Soka 1.0	S o k a
SqMgAra 1.0	S q M g A r a
SrI 1.0	S r I
SrISAva 1.0	S r I S A v a
SrIkqRNa 1.0	S r I k q R N a
SrIlaMkA 1.0	S r I l a M k A
SrImawI 1.0	S r I m a w I
SrImawi 1.0	S r I m a w i
SrInagara 1.0	S r I n a g a r a
SrIrAma 1.0	S r I r A m a
SrU 1.0	S r U
SraXAMjalI 1.0	S r a X A M j a l I
SraXAnjali 1.0	S r a X A n j a l i
SraXXAMjalI 1.0	S r a X X A M j a l I
Srama 1.0	S r a m a
Srava 1.0	S r a v a
SraxXAFjalI 1.0	S r a x X A F j a l I
SraxXAMjalI 1.0	S r a x X A M j a l I
SreNI 1.0	S r e N I
SreNiyAz 1.0	S r e N i y A z
SreRTa 1.0	S r e R T a
SrimAna 1.0	S r i m A n a
SrimawI 1.0	S r i m a w I
SrqMgAra 1.0	S r q M g A r a
SuBa 1.0	S u B a
SuBarAma 1.0	S u B a r A m a
Sukla 1.0	S u k l a
SukravAra 1.0	S u k r a v A r a
SukriyA 1.0	S u k r i y A
SukvAra 1.0	S u k v A r a
Sulka 1.0	S u l k a
Sunya 1.0	S u n y a
SurU 1.0	S u r U
SurUAwa 1.0	S u r U A w a
SurUvAwa 1.0	S u r U v A w a
Suru 1.0	S u r u
SuruAwa 1.0	S u r u A w a
SuxXa 1.0	S u x X a
SyAmA 1.0	S y A m A
SyAma 1.0	S y A m a
TAkUra 1.0	T A k U r a
TAkare 1.0	T A k a r e
TAkre 1.0	T A k r e
TAkura 1.0	T A k u r a
TAru 1.0	T A r u
TIka 1.0	T I k a
TaharAyA 1.0	T a h a r A y A
TahrAya 1.0	T a h r A y a
TahrayA 1.0	T a h r a y A
TarAyA 1.0	T a r A y A
TikANoM 1.0	T i k A N o M
TikAne 1.0	T i k A n e
TikAno 1.0	T i k A n o
TikAnoM 1.0	T i k A n o M
TikanoM 1.0	T i k a n o M
Tone 1.0	T o n e
Tosa 1.0	T o s a
UparI 1.0	U p a r I
Upara 1.0	U p a r a
UrjA 1.0	U r j A
WA 1.0	W A
WAbo 1.0	W A b o
WAma 1.0	W A m a
WAnA 1.0	W A n A
WAne 1.0	W A n e
WAru 1.0	W A r u
WI 1.0	W I
WIM 1.0	W I M
Wala 1.0	W a l a
Walaga 1.0	W a l a g a
Waru 1.0	W a r u
We	 1.0	W e
We 1.0	W e
WodI 1.0	W o d I
WodZI 1.0	W o d Z I
WodZe 1.0	W o d Z e
WopA 1.0	W o p A
XAMcAgawa 1.0	X A M c A g a w a
XAMxalI 1.0	X A M x a l I
XAMxlI 1.0	X A M x l I
XAma 1.0	X A m a
XAna 1.0	X A n a
XArAvAhika 1.0	X A r A v A h i k a
XAra 1.0	X A r a
XAraNA 1.0	X A r a N A
XArmika 1.0	X A r m i k a
XAve 1.0	X A v e
XAwu 1.0	X A w u
XE 1.0	X E
XI 1.0	X I
XImI 1.0	X I m I
XIna 1.0	X I n a
XIre 1.0	X I r e
XUma 1.0	X U m a
XakkA 1.0	X a k k A
XamAsAna 1.0	X a m A s A n a
XamkI 1.0	X a m k I
XamkiyoM 1.0	X a m k i y o M
XanI 1.0	X a n I
Xana 1.0	X a n a
XanyavAxa 1.0	X a n y a v A x a
Xara 1.0	X a r a
XaramAnye 1.0	X a r a m A n y e
Xari 1.0	X a r i
Xarma 1.0	X a r m a
XarmagranWa 1.0	X a r m a g r a n W a
Xarohara 1.0	X a r o h a r a
XarwI 1.0	X a r w I
XoKA 1.0	X o K A
Xone 1.0	X o n e
XqwarARtra 1.0	X q w a r A R t r a
Xrama 1.0	X r a m a
Xubri 1.0	X u b r i
XvanImawa 1.0	X v a n I m a w a
XyAnI 1.0	X y A n I
XyAna 1.0	X y A n a
aBI 1.0	a B I
aBimAna 1.0	a B i m A n a
aBinaya 1.0	a B i n a y a
aBinewA 1.0	a B i n e w A
aBinewrI 1.0	a B i n e w r I
aBiyAMwrikI 1.0	a B i y A M w r i k I
aBiyAna 1.0	a B i y A n a
aBjAI 1.0	a B j A I
aByAna 1.0	a B y A n a
aByAsa 1.0	a B y A s a
aDawAlIsa 1.0	a D a w A l I s a
aGoRIwa 1.0	a G o R I w a
aKaMdawA 1.0	a K a M d a w A
aKbAra 1.0	a K b A r a
aKbAro 1.0	a K b A r o
aKila 1.0	a K i l a
aMSa 1.0	a M S a
aMSaxAna 1.0	a M S a x A n a
aMSxAna 1.0	a M S x A n a
aMXAXuMxa 1.0	a M X A X u M x a
aMcala 1.0	a M c a l a
aMde 1.0	a M d e
aMgaxa 1.0	a M g a x a
